Sign received from internet	Actual joints positions
F	F
F	F
Q	Q
W	W
H	H
Q	Q
E	E
C	C
U	U
S1	S1
S2	S2
U	U
F	F
I	I
Y	Y
V	V
E	E
U	U
H	H
A	A
B	B
W	W
O	O
S1	S1
H	H
V	V
S1	S1
C	C
S1	S1
R	R
O	O
D	D
W	W
V	V
D	D
O	O
T	T
A	A
R	R
T	T
R	R
S1	S1
V	V
W	W
L	L
V	V
O	O
A	A
A	A
S1	S1
F	F
P1	P1
D	D
A	A
Y	Y
E	E
L	L
Y	Y
O	O
A	A
Y	Y
O	O
F	F
A	A
K	K
K	K
F	F
I	I
C	C
A	A
Y	Y
K	K
T	T
F	F
B	B
L	L
I	I
F	F
V	V
A	A
A	A
A	A
A	A
O	O
D	D
B	B
A	A
H	H
S1	S1
O	O
S1	S1
S1	S1
S1	S1
C	C
T	T
A	A
X	X
L	L
Q	Q
A	A
V	V
V	V
C	C
A	A
L	L
Y	Y
F	F
X	X
I	I
V	V
A	A
F	F
Y	Y
F	F
V	V
L	L
F	F
P1	P1
O	O
P1	P1
U	U
X	X
S1	S1
O	O
A	A
C	C
F	F
D	D
L	L
C	C
V	V
T	T
I	I
S1	S1
C	C
U	U
F	F
C	C
W	W
W	W
A	A
W	W
O	O
T	T
W	W
L	L
T	T
S1	S1
A	A
S1	S1
S1	S1
S1	S1
E	E
A	A
O	O
L	L
P1	P1
B	B
D	D
I	I
