Sign received from internet	Actual joints positions
O	O
V	V
C	C
P1	P1
B	B
O	O
O	O
U	U
B	B
A	A
U	U
S1	S1
A	A
B	B
X	X
L	L
L	L
X	X
B	B
T	T
F	F
O	O
F	F
S1	S1
D	D
C	C
O	O
B	B
P1	P1
K	K
A	A
P1	P1
D	D
K	K
S1	S1
X	X
F	F
D	D
H	H
L	L
I	I
T	T
N	N
A	A
F	F
C	C
I	I
X	X
D	D
X	X
Y	Y
L	L
F	F
S1	S1
L	L
K	K
O	O
A	A
A	A
S1	S1
E	E
W	W
D	D
B	B
A	A
P1	P1
E	E
C	C
F	F
A	A
T	T
D	D
L	L
O	O
F	F
E	E
W	W
I	I
M	M
L	L
W	W
Y	Y
V	V
X	X
F	F
H	H
T	T
L	L
X	X
A	A
A	A
T	T
L	L
I	I
S1	S1
A	A
V	V
T	T
A	A
D	D
C	C
W	W
B	B
F	F
H	H
B	B
D	D
W	W
V	V
D	D
D	D
W	W
A	A
F	F
O	O
B	B
F	F
T	T
K	K
L	L
L	L
V	V
X	X
H	H
V	V
H	H
S1	S1
X	X
B	B
A	A
R	R
L	L
S1	S1
D	D
C	C
C	C
W	W
F	F
L	L
U	U
S1	S1
B	B
S1	S1
V	V
A	A
V	V
C	C
O	O
A	A
A	A
D	D
U	U
A	A
A	A
K	K
V	V
E	E
X	X
S1	S1
S1	S1
