Sign received from internet	Actual joints positions
S1	S1
U	U
C	C
K	K
L	L
X	X
M	M
W	W
S1	S1
C	C
A	A
Q	Q
W	W
L	L
I	I
E	E
A	A
B	B
A	A
L	L
B	B
V	V
F	F
T	T
F	F
L	L
W	W
E	E
V	V
V	V
V	V
C	C
Y	Y
P1	P1
D	D
D	D
I	I
S1	S1
B	B
D	D
Y	Y
Y	Y
L	L
R	R
L	L
S1	S1
T	T
O	O
W	W
P1	P1
A	A
L	L
O	O
W	W
A	A
D	D
K	K
O	O
S1	S1
O	O
I	I
W	W
A	A
S1	S1
V	V
V	V
V	V
F	F
C	C
C	C
D	D
A	A
W	W
T	T
A	A
T	T
B	B
S1	S1
D	D
W	W
A	A
F	F
T	T
D	D
B	B
O	O
V	V
O	O
W	W
D	D
I	I
A	A
V	V
A	A
Q	Q
B	B
D	D
B	B
U	U
O	O
F	F
H	H
H	H
B	B
L	L
S1	S1
L	L
W	W
A	A
L	L
F	F
D	D
F	F
X	X
A	A
F	F
Y	Y
Y	Y
P1	P1
L	L
A	A
L	L
S1	S1
D	D
S1	S1
V	V
O	O
O	O
C	C
C	C
W	W
I	I
I	I
I	I
W	W
X	X
A	A
F	F
X	X
W	W
I	I
T	T
S1	S1
Q	Q
O	O
A	A
B	B
O	O
I	I
F	F
F	F
U	U
I	I
L	L
C	C
O	O
D	D
F	F
S2	S2
E	E
